package name,author,assignee,created at,closed at,link,version,is stable
azure-mgmt-databox,vaishnavi-janardhan,Wzb123456789,2023-04-27,2023-05-26,https://github.com/Azure/sdk-release-request/issues/4104,2.0.0,True
azure-mgmt-kubernetesconfiguration,bavneetsingh16,Wzb123456789,2023-04-28,2023-05-26,https://github.com/Azure/sdk-release-request/issues/4108,3.0.0,True
azure-mgmt-compute,grizzlytheodore,Wzb123456789,2023-04-18,2023-05-25,https://github.com/Azure/sdk-release-request/issues/4058,30.0.0,True
azure-mgmt-resource,gauravkumar1491,Wzb123456789,2023-04-24,2023-05-25,https://github.com/Azure/sdk-release-request/issues/4079,23.1.0b1,
azure-mgmt-keyvault,msyyc,Wzb123456789,2023-05-24,2023-05-24,https://github.com/Azure/sdk-release-request/issues/4192,10.2.2,True
azure-mgmt-resourcehealth,abhayohri,Wzb123456789,2023-05-01,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4118,1.0.0b4,
azure-mgmt-devhub,OliverMKing,Wzb123456789,2023-05-01,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4119,1.0.0b1,
azure-mgmt-devcenter,nickdepinet,Wzb123456789,2023-05-04,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4128,1.0.0,True
azure-mgmt-servicefabricmanagedclusters,mwesigwaguma,Wzb123456789,2023-05-04,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4129,2.0.0b4,
azure-mgmt-appcontainers,vinisoto,Wzb123456789,2023-05-05,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4131,3.0.0b1,
azure-mgmt-servicenetworking,malpaniHMC,Wzb123456789,2023-05-05,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4134,1.0.0b2,
azure-mgmt-network,MikhailTryakhov,Wzb123456789,2023-05-07,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4138,23.1.0,True
azure-mgmt-elastic,utkarshjain1508,Wzb123456789,2023-05-11,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4153,1.1.0b3,
azure-mgmt-recoveryservices,Gakum,Wzb123456789,2023-05-14,2023-05-23,https://github.com/Azure/sdk-release-request/issues/4163,2.4.0,True
azure-mgmt-newrelicobservability,vipray-ms,Wzb123456789,2023-04-17,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4050,1.0.0,True
azure-mgmt-privatedns,sfiguemsft,Wzb123456789,2023-04-20,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4068,1.1.0,True
azure-mgmt-networkcloud,mbashtovaya,Wzb123456789,2023-04-21,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4074,1.0.0b1,
azure-mgmt-frontdoor,t-bzhan,Wzb123456789,2023-04-23,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4077,1.1.0,True
azure-mgmt-voiceservices,sebastianrex,Wzb123456789,2023-04-25,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4085,1.0.0,True
azure-mgmt-qumulo,nikhgup,Wzb123456789,2023-04-26,2023-05-22,https://github.com/Azure/sdk-release-request/issues/4097,1.0.0,True
azure-mgmt-eventgrid,ahamad-MS,Wzb123456789,2023-05-16,2023-05-19,https://github.com/Azure/sdk-release-request/issues/4166,10.3.0b2,
azure-mgmt-confidentialledger,prathod09,Wzb123456789,2023-04-26,2023-05-19,https://github.com/Azure/sdk-release-request/issues/4099,2.0.0b3,
azure-mgmt-resource,msyyc,Wzb123456789,2023-05-18,2023-05-18,https://github.com/Azure/sdk-release-request/issues/4170,23.0.1,True
azure-mgmt-selfhelp,BharathaAravind,Wzb123456789,2023-04-12,2023-05-17,https://github.com/Azure/sdk-release-request/issues/4032,1.0.0b1,
azure-mgmt-containerservice,FumingZhang,Wzb123456789,2023-05-08,2023-05-16,https://github.com/Azure/sdk-release-request/issues/4144,23.0.0,True
azure-mgmt-rdbms,xiaoxuqi-ms,Wzb123456789,2023-05-09,2023-05-15,https://github.com/Azure/sdk-release-request/issues/4150,10.2.0b8,
azure-mgmt-machinelearningservices,msyyc,Wzb123456789,2023-05-12,2023-05-12,https://github.com/Azure/sdk-release-request/issues/4161,2.0.0b2,
azure-mgmt-cosmosdb,vinhms,Wzb123456789,2023-04-28,2023-05-08,https://github.com/Azure/sdk-release-request/issues/4110,9.2.0,True
azure-mgmt-recoveryservicesbackup,hiaga,Wzb123456789,2023-05-02,2023-05-08,https://github.com/Azure/sdk-release-request/issues/4124,6.0.0,True
azure-mgmt-paloaltonetworksngfw,Vibhuti-Sharma-Microsoft,Wzb123456789,2023-03-10,2023-05-05,https://github.com/Azure/sdk-release-request/issues/3922,1.0.0b2,
azure-mgmt-monitor,msyyc,Wzb123456789,2023-05-02,2023-05-04,https://github.com/Azure/sdk-release-request/issues/4123,6.0.1,True
azure-mgmt-resourceconnector,aditimalladi,Wzb123456789,2023-03-21,2023-04-26,https://github.com/Azure/sdk-release-request/issues/3957,1.0.0b4,
azure-mgmt-containerservice,FumingZhang,Wzb123456789,2023-04-13,2023-04-21,https://github.com/Azure/sdk-release-request/issues/4038,22.1.0,True
azure-mgmt-quota,allison-inman,Wzb123456789,2023-03-22,2023-04-21,https://github.com/Azure/sdk-release-request/issues/3969,1.0.0,True
azure-mgmt-cosmosdb,carjackson-msft,Wzb123456789,2023-04-11,2023-04-21,https://github.com/Azure/sdk-release-request/issues/4031,9.1.0,True
azure-mgmt-containerinstance,fnuarnav,Wzb123456789,2023-04-13,2023-04-21,https://github.com/Azure/sdk-release-request/issues/4042,10.1.0,True
azure-mgmt-applicationinsights,AllyW,Wzb123456789,2023-03-13,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3926,4.0.0,True
azure-mgmt-imagebuilder,zdelacerda-microsoft,Wzb123456789,2023-03-15,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3928,1.2.0,True
azure-mgmt-iothub,firstaye-zz,Wzb123456789,2023-03-22,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3975,2.4.0,True
azure-mgmt-cosmosdb,ashwinisingh01,Wzb123456789,2023-03-23,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3980,9.1.0b2,
azure-mgmt-containerinstance,MicroJamesLim,Wzb123456789,2023-03-31,2023-04-20,https://github.com/Azure/sdk-release-request/issues/4008,10.1.0b2,
azure-mgmt-security,GalGoldi72,Wzb123456789,2023-04-04,2023-04-20,https://github.com/Azure/sdk-release-request/issues/4016,5.0.0,True
azure-mgmt-confidentialledger,musabbir,Wzb123456789,2023-04-14,2023-04-20,https://github.com/Azure/sdk-release-request/issues/4049,2.0.0b2,
azure-mgmt-netapp,audunn,Wzb123456789,2023-03-06,2023-04-20,https://github.com/Azure/sdk-release-request/issues/3887,10.0.0,True
