foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
streamanalytics/azure-mgmt-streamanalytics,https://pypi.org/pypi/azure-mgmt-streamanalytics,NA,NA,NA,2.0.0b2,2024/01/22,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/streamanalytics/resource-manager,,0.157,-, -, -, -
appconfiguration/azure-mgmt-appconfiguration,https://pypi.org/pypi/azure-mgmt-appconfiguration,0.7.0,2021/06/22,NA,3.0.0,2023/03/29,1.0.0,track2_3.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/appconfiguration/resource-manager,True,0.240,-, -, -, -
databox/azure-mgmt-databox,https://pypi.org/pypi/azure-mgmt-databox,0.2.0,2020/03/26,NA,2.0.0,2023/05/26,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/databox/resource-manager,True,0.864,-, -, -, -
servicefabric/azure-mgmt-servicefabric,https://pypi.org/pypi/azure-mgmt-servicefabric,0.5.0,2020/08/3,NA,2.2.0b1,2024/02/22,1.0.0,track2_2.1.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/servicefabric/resource-manager,,0.125,-, -, -, -
storageactions/azure-mgmt-storageactions,https://pypi.org/pypi/azure-mgmt-storageactions,NA,NA,NA,1.0.0b1,2024/03/21,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/storageactions/resource-manager,,0.067,-, -, -, -
datafactory/azure-mgmt-datafactory,https://pypi.org/pypi/azure-mgmt-datafactory,0.17.0,2021/03/15,NA,9.0.0,2024/08/20,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/datafactory/resource-manager,,0.521,-, -, -, -
devopsinfrastructure/azure-mgmt-devopsinfrastructure,https://pypi.org/pypi/azure-mgmt-devopsinfrastructure,NA,NA,NA,1.0.0b1,2024/05/29,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/devopsinfrastructure/resource-manager,,0.076,-, -, -, -
devtestlabs/azure-mgmt-devtestlabs,https://pypi.org/pypi/azure-mgmt-devtestlabs,4.0.0,2019/07/26,1.0.0,10.0.0b1,2022/10/31,9.0.0,track1_4.0.0,track2,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/devtestlabs/resource-manager,,0.266,-, -, -, -
cosmosdbforpostgresql/azure-mgmt-cosmosdbforpostgresql,https://pypi.org/pypi/azure-mgmt-cosmosdbforpostgresql,NA,NA,NA,1.1.0b1,2024/03/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/postgresqlhsc/resource-manager,,0.106,-, -, -, -
eventhub/azure-mgmt-eventhub,https://pypi.org/pypi/azure-mgmt-eventhub,5.0.0,2021/05/27,1.0.0,11.1.0,2024/09/4,8.0.0,track2_10.1.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/eventhub/resource-manager,True,0.885,-, -, -, -
hybridcompute/azure-mgmt-hybridcompute,https://pypi.org/pypi/azure-mgmt-hybridcompute,2.0.0,2020/09/21,1.0.0,9.0.0,2024/10/14,7.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/hybridcompute/resource-manager,,0.146,-, -, -, -
hybridconnectivity/azure-mgmt-hybridconnectivity,https://pypi.org/pypi/azure-mgmt-hybridconnectivity,NA,NA,NA,1.0.0,2023/09/20,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/hybridconnectivity/resource-manager,,0.058,-, -, -, -
deviceregistry/azure-mgmt-deviceregistry,https://pypi.org/pypi/azure-mgmt-deviceregistry,NA,NA,NA,1.0.0b1,2024/04/24,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/deviceregistry/resource-manager,,0.067,-, -, -, -
billing/azure-mgmt-billing,https://pypi.org/pypi/azure-mgmt-billing,1.0.0,2020/10/20,1.0.0,7.0.0,2024/09/5,6.0.0,track2_6.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/billing/resource-manager,,0.356,-, -, -, -
azurearcdata/azure-mgmt-azurearcdata,https://pypi.org/pypi/azure-mgmt-azurearcdata,NA,NA,NA,2.0.0b1,2022/11/21,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/azurearcdata/resource-manager,,0.095,-, -, -, -
storagepool/azure-mgmt-storagepool,https://pypi.org/pypi/azure-mgmt-storagepool,NA,NA,NA,1.1.0b1,2022/11/11,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/storagepool/resource-manager,,0.075,-, -, -, -
confluent/azure-mgmt-confluent,https://pypi.org/pypi/azure-mgmt-confluent,NA,NA,NA,2.1.0,2024/03/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/confluent/resource-manager,,0.081,-, -, -, -
iothub/azure-mgmt-iothub,https://pypi.org/pypi/azure-mgmt-iothub,0.13.0,2021/05/17,NA,3.0.0,2023/09/19,1.0.0,track2_3.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/iothub/resource-manager,True,1.257,-, -, -, -
mysqlflexibleservers/azure-mgmt-rdbms,https://pypi.org/pypi/azure-mgmt-rdbms,3.1.0rc1,2020/09/29,1.0.0,10.2.0b18,2024/10/11,8.0.0,track2_10.2.0b17,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mysql/resource-manager,,0.531,-, -, -, -
eventgrid/azure-mgmt-eventgrid,https://pypi.org/pypi/azure-mgmt-eventgrid,3.0.0rc9,2021/02/23,1.0.0,10.3.0b4,2024/04/29,8.0.0,track2_10.2.0b2,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/eventgrid/resource-manager,,0.352,-, -, -, -
appcontainers/azure-mgmt-appcontainers,https://pypi.org/pypi/azure-mgmt-appcontainers,NA,NA,NA,3.1.0,2024/08/6,1.0.0,track2_2.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/app/resource-manager,,0.245,-, -, -, -
